id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0DnGfA1r8pAssJCuq4ojla,5yrouz3mmUWSsCufl1tLUJ,Still Got The Blues,Gary Moore,False,68,0.18899999999999997,0.39,9,-14.497,0,0.0353,0.257,0.000152,0.122,0.32,169.563,audio_features,spotify:track:0DnGfA1r8pAssJCuq4ojla,https://api.spotify.com/v1/tracks/0DnGfA1r8pAssJCuq4ojla,https://api.spotify.com/v1/audio-analysis/0DnGfA1r8pAssJCuq4ojla,6.181116666666667,3
5JU7FgGJqgGPUaJA2nhZvm,04ZCu8OHFUgbf9Ko0bOSZ2,Hotel California - Live; 1999 Remaster,Eagles,False,51,0.41100000000000003,0.855,2,-6.6579999999999995,1,0.0565,0.0136,0.0374,0.988,0.547,150.933,audio_features,spotify:track:5JU7FgGJqgGPUaJA2nhZvm,https://api.spotify.com/v1/tracks/5JU7FgGJqgGPUaJA2nhZvm,https://api.spotify.com/v1/audio-analysis/5JU7FgGJqgGPUaJA2nhZvm,7.0073333333333325,4
5CQ30WqJwcep0pYcV4AMNc,44Ig8dzqOkvkGDzaUof9lK,Stairway to Heaven - Remaster,Led Zeppelin,False,79,0.33799999999999997,0.34,9,-12.049000000000001,0,0.0339,0.58,0.0032,0.11599999999999999,0.19699999999999998,82.43299999999999,audio_features,spotify:track:5CQ30WqJwcep0pYcV4AMNc,https://api.spotify.com/v1/tracks/5CQ30WqJwcep0pYcV4AMNc,https://api.spotify.com/v1/audio-analysis/5CQ30WqJwcep0pYcV4AMNc,8.047166666666667,4
6lrh9jZ1xoMwoErgPSj2rY,4wVHvawxZy52Oemd4sGyUm,All My Love - 1990 Remaster,Led Zeppelin,False,65,0.599,0.7440000000000001,7,-8.72,1,0.0316,0.131,0.00275,0.0795,0.723,91.259,audio_features,spotify:track:6lrh9jZ1xoMwoErgPSj2rY,https://api.spotify.com/v1/tracks/6lrh9jZ1xoMwoErgPSj2rY,https://api.spotify.com/v1/audio-analysis/6lrh9jZ1xoMwoErgPSj2rY,5.85445,4
4OTw5splgMdlYklwHMHxLK,37fVxdmMKreIb0FnffxjRI,Long Cool Woman (In a Black Dress) - 1999 Remaster,The Hollies,False,69,0.757,0.868,9,-9.326,1,0.062,0.41100000000000003,0.00221,0.355,0.815,138.923,audio_features,spotify:track:4OTw5splgMdlYklwHMHxLK,https://api.spotify.com/v1/tracks/4OTw5splgMdlYklwHMHxLK,https://api.spotify.com/v1/audio-analysis/4OTw5splgMdlYklwHMHxLK,3.32,4
0qdQUeKVyevrbKhAo0ibxS,4I4xtHaIFOzhZfp1NIHkY6,My Sweet Lord - Remastered 2014,George Harrison,False,76,0.537,0.701,1,-8.913,0,0.0335,0.0972,0.0,0.0832,0.583,120.919,audio_features,spotify:track:0qdQUeKVyevrbKhAo0ibxS,https://api.spotify.com/v1/tracks/0qdQUeKVyevrbKhAo0ibxS,https://api.spotify.com/v1/audio-analysis/0qdQUeKVyevrbKhAo0ibxS,4.687116666666666,4
6ADSaE87h8Y3lccZlBJdXH,5y6wlw1LnqFnQFruMeiwGU,With Or Without You - Remastered,U2,False,80,0.54,0.429,2,-11.822000000000001,1,0.0285,0.000202,0.355,0.141,0.113,110.171,audio_features,spotify:track:6ADSaE87h8Y3lccZlBJdXH,https://api.spotify.com/v1/tracks/6ADSaE87h8Y3lccZlBJdXH,https://api.spotify.com/v1/audio-analysis/6ADSaE87h8Y3lccZlBJdXH,4.9252666666666665,4
39qYD4J4BKvZMQgxfXl5bv,4BGd9BmpePqeSfHLeYiCDr,Eye In The Sky,The Alan Parsons Project,False,70,0.823,0.41700000000000004,2,-12.642999999999999,1,0.032,0.562,0.00098,0.0765,0.522,111.928,audio_features,spotify:track:39qYD4J4BKvZMQgxfXl5bv,https://api.spotify.com/v1/tracks/39qYD4J4BKvZMQgxfXl5bv,https://api.spotify.com/v1/audio-analysis/39qYD4J4BKvZMQgxfXl5bv,4.604666666666667,4
7pKfPomDEeI4TPT6EOYjn9,0xzaemKucrJpYhyl7TltAk,Imagine - Remastered 2010,John Lennon,False,78,0.547,0.257,0,-12.357999999999999,1,0.0252,0.907,0.183,0.0935,0.16899999999999998,75.752,audio_features,spotify:track:7pKfPomDEeI4TPT6EOYjn9,https://api.spotify.com/v1/tracks/7pKfPomDEeI4TPT6EOYjn9,https://api.spotify.com/v1/audio-analysis/7pKfPomDEeI4TPT6EOYjn9,3.1311166666666668,4
2q0BviPG80XxEkaCJCrBm8,21k7KOzml8aOToa1d3r5Gm,Wish You Were Here - Live in Gdańsk,David Gilmour,False,45,0.532,0.514,7,-12.324000000000002,1,0.0387,0.738,0.00010400000000000001,0.981,0.34,125.85700000000001,audio_features,spotify:track:2q0BviPG80XxEkaCJCrBm8,https://api.spotify.com/v1/tracks/2q0BviPG80XxEkaCJCrBm8,https://api.spotify.com/v1/audio-analysis/2q0BviPG80XxEkaCJCrBm8,5.2495,4
